year,kind,rating,vote,runtime,genre1,genre2,country1,country2,language1,language2,cast1,cast2,director1,director2,composer1,composer2,writer1,writer2
1999,1,5.9,1534.0,134.0,0,4,27,71,7,29,4331,4088,1796,611,1510,762,2190,3786
1978,1,6.9,3746.0,96.82821118991332,4,7,23,4,20,110,1710,4241,316,611,846,762,397,3786
2005,7,3.6,299.0,86.0,13,27,10,71,16,110,1746,815,384,611,2166,762,469,3786
1988,1,4.0,140.0,88.0,13,27,62,71,16,110,4809,3256,1174,611,2512,762,3023,1075
2002,7,7.3,18.0,103.0,6,22,62,71,16,110,1267,5771,2056,611,285,762,4765,3786
1971,1,8.5,11015.0,95.0,4,5,54,71,48,110,1427,1844,88,611,823,762,1547,3603
2000,2,7.3,2912.0,102.0,1,4,61,67,16,110,4784,808,3923,611,2512,762,2947,2390
1969,0,6.8,2063.0,66.0,22,27,61,71,16,110,2264,5346,1511,611,2512,762,1592,1728
2003,1,5.5,1491.0,96.82821118991332,7,19,10,71,16,110,3544,3314,2332,611,2296,762,2650,2165
1982,1,7.7,4040.0,96.82821118991332,4,27,62,71,16,110,3844,1797,1814,611,939,762,3612,2903
2004,1,7.9,59473.0,45.0,4,7,23,59,20,110,1711,1734,628,611,312,762,1545,2866
1996,1,6.8,1433.0,90.0,4,5,24,71,22,82,830,734,3369,611,1965,762,4068,3073
2002,1,8.0,911.0,108.0,6,27,10,71,16,42,3386,4791,2839,611,2512,762,4765,3786
2001,1,7.8,2778.0,96.82821118991332,6,14,62,71,16,110,4508,1,1002,611,1774,119,4765,3786
2001,7,8.0,259.0,91.0,14,27,62,71,16,110,3321,1650,1202,435,1776,762,4765,3786
2003,1,7.4,527257.0,60.0,0,20,62,9,16,37,3543,2142,471,611,1270,762,5014,706
2001,4,6.1,137.0,100.0,2,13,37,71,33,110,4668,2558,3923,611,2512,762,2618,2343
2005,1,6.7,21.0,100.0,6,27,61,71,16,110,1561,1087,3847,611,2512,762,4765,3786
2004,3,6.5,398.0,84.0,7,27,10,67,16,110,2448,3202,974,611,1315,762,345,3786
1992,1,7.7,140.0,60.0,6,14,10,71,16,110,1300,3336,2801,611,1964,762,3445,3786
2001,3,6.0,317.0,96.35934959349593,7,14,62,71,16,110,227,3034,3049,611,1641,762,2482,1883
2002,1,6.2,418.0,90.0,6,27,57,67,16,37,1177,1430,1210,611,574,762,1455,3786
2004,7,7.8,368.0,65.0,6,27,62,71,16,110,305,2594,2844,611,1678,762,3487,3786
1993,4,8.0,56687.0,101.0,0,1,62,71,16,55,359,4513,3923,611,2512,762,3907,2914
2003,1,7.3,956.0,160.0,6,3,62,71,16,110,2057,12,1968,611,1162,748,4765,3786
1982,1,6.7,6270.0,119.0,7,27,66,18,16,110,543,1712,3117,611,1934,762,2035,2822
1995,1,6.1,831.0,42.0,7,27,61,57,16,110,1920,1424,3770,611,2125,762,4588,1751
1981,2,8.6,288.0,86.0,3,7,61,71,16,110,3924,5067,3923,611,2512,762,1375,1031
2004,3,7.7,978.0,89.0,6,7,61,71,16,110,1101,3617,1802,611,630,762,2203,3786
1999,0,7.4,794.0,118.0,5,7,61,71,16,110,2309,1121,2747,611,1181,762,1156,425
1996,1,4.9,1001.0,75.0,5,13,62,71,16,110,3608,4064,655,611,2126,762,752,3786
2001,1,8.1,164.0,100.0,4,27,62,71,16,110,681,5349,3923,611,2512,762,4765,3786
2003,7,8.7,371.0,100.0,6,14,61,71,16,110,4514,4561,1405,611,2512,762,4765,3786
2002,1,7.4,1448.0,88.0,7,25,32,71,44,57,4194,1649,268,611,177,762,336,3786
1919,1,7.3,9947.0,76.0,7,19,62,71,16,110,2791,4543,725,611,2512,762,4624,611
