year,kind,rating,vote,runtime,genre1,genre2,country1,country2,language1,language2,cast1,cast2,director1,director2,composer1,composer2,writer1,writer2
1989,movie,6.3,523.0,90.0,Fantasy, Sci-Fi,Spain,None,Spanish,None,Maribel Martín, Lisa Gerrard,Agustí Villaronga,None,Dead Can Dance,None,Agustí Villaronga,None
1994,movie,9.3,2461873.0,77.0,Drama,None,United States,None,English,None,Tim Robbins, Morgan Freeman,Frank Darabont,None,Thomas Newman,None,Stephen King, Frank Darabont
2002,movie,7.2,8671.0,89.0,Animation, Short,Japan,None,Japanese,None,Mika Shinohara, Makoto Shinkai,Makoto Shinkai,None,Tenmon,None,Makoto Shinkai,None
2004,tv series,7.3,608.0,118.0,Animation, Comedy,Japan,None,Japanese, English,Mai Nakahara, Kishô Taniyama,Unknown,None,Unknown,None,Kazurô Inoue, Mamiko Ikeda
1994,movie,8.5,1080665.0,180.0,Action, Crime,France, United States,English, Italian,Jean Reno, Gary Oldman,Luc Besson,None,Éric Serra,None,Luc Besson,None
2000,movie,6.9,897.0,92.0,Comedy,None,Mexico,None,Spanish,None,Osvaldo Benavides, Rodrigo Cachero,Juan Carlos de Llaca,None,Gabriela Ortiz,None,Antonio Armonia,None
2000,video movie,7.2,677.0,78.0,Short, Music,United States,None,English,None,Madonna, Sacha Baron Cohen,Jonas Åkerlund,None,Mirwais Ahmadzaï, Madonna,Jonas Åkerlund,None
2002,video movie,6.6,95.0,151.0,Animation, Short,United States,None,English,None,Chiara Zanni, Eric Pospisil,William R. Kowalchuk Jr.,None,Jody Gray,None,Janell Cannon, Rachel Koretsky
2003,episode,7.4,21.0,96.08333333333333,Documentary,None,Unknown,None,Unknown,None,Unknown,None,Unknown,None,Unknown,None,Alan Lindgren,None
1999,movie,5.5,2943.0,25.0,Comedy, Crime,United States, Mexico,English, Spanish,Natasha Lyonne, María Celedonio,Matthew Bright,None,Louise Post, Kennard Ramsey,Matthew Bright,None
2002,movie,7.9,433.0,23.0,Documentary, Music,United Kingdom, United States,English,None,Paul McCartney, Paul Wickens,Mark Haefeli,None,Unknown,None,Unknown,None
1996,movie,5.0,134.0,92.0,Animation, Action,Japan,None,Japanese,None,Marc Garber, Sandee Gilman,Masami Ôbari,None,Unknown,None,Kengo Asai,None
1982,tv movie,5.8,56.0,55.0,Animation, Family,United States,None,English,None,Bill Cosby, Eric Suter,Unknown,None,Ray Ellis, Norm Prescott,Bill Danch, Dan DiStefano
2003,movie,2.7,374.0,85.0,Horror,None,United States,None,English,None,Debbie Rochon, Leia Thompson,J. Christian Ingvordsen,None,Jeffrey Howard,None,Matthew M. Howe, J. Christian Ingvordsen
1999,movie,5.6,935.0,101.0,Comedy, Romance,Australia,None,English,None,Claudia Karvan, Naomi Watts,Emma-Kate Croghan,None,Unknown,None,Stavros Kazantzidis, Stavros Kazantzidis
1998,movie,7.7,7696.0,93.0,Drama, Romance,India, Canada,Hindi, English,Aamir Khan, Nandita Das,Deepa Mehta,None,A.R. Rahman,None,Deepa Mehta, Bapsi Sidhwa
2000,tv mini series,6.4,776.0,99.0,Animation, Short,Japan,None,Japanese, English,Mayumi Asano, Scott Cargle,Unknown,None,Unknown,None,Kiyoko Sayama, Kaori Yuki
2004,tv series,7.4,20.0,98.0,Documentary,None,Canada,None,English,None,Unknown,None,Unknown,None,Unknown,None,Unknown,None
2000,episode,7.5,783.0,105.0,Crime, Drama,United Kingdom,None,English,None,John Nettles, Daniel Casey,Peter Smith,None,Jim Parker,None,Hugh Whitemore, Caroline Graham
2002,video movie,8.4,103.0,91.0,Documentary, Music,United States,None,English,None,Jon Anderson, Steve Howe,Aubrey Powell,None,Larry Groupé,None,Unknown,None
2003,tv movie,7.2,3850.0,88.0,Biography, Drama,United States,None,English, Portuguese,Thora Birch, Michael Riley,Peter Levin,None,Louis Febre,None,Ronni Kern,None
1958,movie,7.8,21112.0,254.0,Comedy,None,France, Italy,French,None,Jean-Pierre Zola, Adrienne Servantie,Jacques Tati,None,Franck Barcellini, Alain Romans,Jacques Lagrange, Jean LHôte
2002,tv movie,7.1,211.0,100.0,Biography, Drama,United Kingdom,None,English,None,Liam Neeson, Timothy West,Cassian Harrison,None,Nick Powell, Lucy Wilkins,Cassian Harrison, Lance Kneeshaw
2003,tv movie,3.1,185.0,90.0,Drama, Romance,United States,None,English, Portuguese,Ludmilla Ferraz, Hoyt Christopher,Kevin Alber,None,Elizabeth Caggiano,None,Kevin Alber,None
2002,tv movie,6.1,137.0,103.0,Drama,None,United States,None,English,None,Rashaan Nall, Toni Braxton,Oz Scott,None,Kurt Farquhar,None,Cory Tynan,None
1998,movie,6.1,7103.0,90.0,Documentary, Biography,United Kingdom,None,English,None,Nick Broomfield, Kurt Cobain,Nick Broomfield,None,David Bergeaud, Dylan Carlson,Unknown,None
1993,movie,7.6,82126.0,90.0,Drama, Music,New Zealand, Australia,English, British Sign Language,Holly Hunter, Harvey Keitel,Jane Campion,None,Michael Nyman,None,Jane Campion,None
1994,movie,5.6,4183.0,84.0,Action, Horror,United Kingdom, Japan,English,None,Brad Dourif, Ely Pouget,Stephen Norrington,None,Crispin Merrell,None,Stephen Norrington,None
2002,movie,5.7,7531.0,195.0,Action, Drama,Germany, Canada,English,None,Tanya Allen, Hart Bochner,Kari Skogland,None,Michael Convertino,None,Kari Skogland,None
1997,movie,6.6,10.0,116.0,Crime,None,Unknown,None,Unknown,None,Shane Feeney-Connor, Rebecca Gibney,Steve Jodrell,None,Unknown,None,Jutta Goetze, Roger Simpson
2002,movie,6.0,1702.0,30.0,Drama, Music,Spain, Germany,English,None,Juliet Stevenson, Kevin Bishop,Ventura Pons,None,Carles Cases,None,David Leavitt, Ventura Pons
1999,movie,5.6,55242.0,138.0,Crime, Fantasy,United States,None,English,None,Geoffrey Rush, Famke Janssen,William Malone,None,Don Davis,None,Robb White, Dick Beebe
2005,movie,6.2,3046.0,88.0,Drama,None,United Kingdom, Germany,English, German,Elliot Page, Natasha Wightman,Alison Murray,None,Rowan Oliver,None,Alison Murray,None
1998,movie,5.7,46.0,96.0,Crime, Mystery,Hong Kong,None,Cantonese,None,Sai-Tang Chan, Louis Koo,Kai-Ming Lai,None,Unknown,None,Kai Keung Lai, Kai-Ming Lai
1983,movie,6.2,323.0,78.0,Biography, Music,West Germany,None,German,None,Nastassja Kinski, Rolf Hoppe,Peter Schamoni,None,Herbert Grönemeyer,None,Peter Schamoni,None
2003,video movie,7.8,79.0,85.0,Animation, Family,United States,None,English,None,Madeline Barr, Chloe Clark,Jim Janicek,None,Bill Weisbach,None,Jim Janicek, Len Marino
2004,tv movie,8.0,44.0,24.0,Documentary, Biography,United States,None,English,None,Charley Carfrey, Michael Kelberg,Joshua Alper,None,Unknown,None,Joshua Alper, Raymond Bridgers
1994,movie,9.3,410.0,96.82821118991332,Music,None,United States, United Kingdom,English,None,Yanni, Charlie Adams,George Veras,None,Yanni,None,Unknown,None
2002,tv movie,7.3,4555.0,142.0,Drama, War,United States,None,English,None,Michael Keaton, Helena Bonham Carter,Mick Jackson,None,Steve Jablonsky,None,Robert Wiener, Robert Wiener
1998,tv movie,5.1,642.0,53.0,Crime, Sci-Fi,Germany, United States,English,None,Stephen Baldwin, Julie Warner,Dick Lowry,None,Louis Febre, Mark Snow,Dean R. Koontz, Stephen Tolkin
2003,tv series,7.8,866.0,92.0,Animation, Comedy,Japan,None,Japanese, English,Jason Douglas, Cynthia Martinez,Unknown,None,Unknown,None,Monica Rial, Reiko Yoshida
2001,episode,8.3,121.0,72.0,Documentary, Biography,United States,None,English,None,Jack Perkins,None,Unknown,None,Unknown,None,Unknown,None
1999,tv movie,5.4,188.0,97.0,Drama,None,United States,None,English,None,Lynn Whitfield, Richard Lineback,Sturla Gunnarsson,None,Jonathan Goldsmith,None,Ellis A. Cohen, Milton J. Shapiro
2001,video movie,7.1,307.0,133.0,Music, Musical,United States,None,English,None,Britney Spears, Sarah Michelle Gellar,Bruce Gowers,None,Unknown,None,Unknown,None
1999,movie,4.2,3382.0,24.0,Adventure, Horror,Australia,None,English,None,Jill Hennessy, Billy Burke,Michael Lantieri,None,John Debney,None,Hans Bauer, Craig Mitchell
1985,tv series,7.5,1294.0,291.0,Drama, Fantasy,United Kingdom, France,English,None,Ray Bradbury, Frank Whitten,Unknown,None,Unknown,None,Ray Bradbury, Ray Bradbury
1962,movie,7.9,19638.0,101.0,Comedy, Drama,France, Italy,French,None,Corinne Marchand, Antoine Bourseiller,Agnès Varda,None,Michel Legrand,None,Agnès Varda,None
2001,movie,5.9,210.0,106.0,Drama,None,United States,None,English,None,Maria Bello, Yu Xia,Robert M. Young,None,Randy Edelman,None,Ruth Harkness, Paul Andersen
1998,movie,7.7,791.0,60.0,Documentary, Biography,United States,None,English,None,Reeve Brenner, Hank Greenberg,Aviva Kempner,None,Unknown,None,Aviva Kempner,None
2003,video movie,3.8,99.0,140.0,Documentary,None,Ireland, United Kingdom,English,None,Stephen Brennan, Michael Colgan,Pearse Lehane,None,Unknown,None,Samuel Beckett, Pearse Lehane
2003,movie,7.7,2134.0,96.82821118991332,Animation, Action,Japan,None,Japanese,None,Kappei Yamaguchi, Satsuki Yukino,Toshiya Shinohara,None,Kaoru Wada,None,Katsuyuki Sumizawa, Rumiko Takahashi
2000,movie,6.5,245.0,60.0,Documentary, Comedy,United States,None,English,None,Qusay Hussein, Saddam Hussein,Joel Soler,None,Umalu,None,Scott Thompson,None
2003,video movie,5.9,22.0,58.0,Comedy, Short,United States,None,English,None,Patricia Prata,None,Unknown,None,Unknown,None,Unknown,None
1998,tv movie,6.2,669.0,80.0,Crime, Drama,United States,None,English,None,James Garner, Gina Gershon,Glenn Jordan,None,Stewart Copeland,None,Billy Ray,None
1939,movie,7.4,103.0,94.0,Documentary,None,United States,None,English,None,Martin Mason, Doc Bond,Manny Nathan,None,Jack Foley,None,Hazel Merry Hawkins, Manny Nathan
1982,tv movie,8.2,117.0,117.0,Comedy, Documentary,United States,None,English,None,Gene Kelly, Chico Marx,Richard Patterson,None,Unknown,None,Joe Adamson, Robert B. Weide
1999,video movie,3.5,4227.0,97.0,Horror, Mystery,United States,None,English,None,Natalie Ramsey, Gary Bullock,Kari Skogland,None,Terry Huud,None,Stephen King, Tim Sulka
2003,episode,8.6,13.0,24.0,Drama,None,Unknown,None,Unknown,None,Paul Brewster, Brad Davis,Jim Brown,None,Unknown,None,John Uhl,None
1993,video movie,8.7,80.0,385.0,Music,None,United States,None,English,None,Sade, Amanda Pays,Unknown,None,Unknown,None,Unknown,None
2000,movie,8.8,6.0,55.0,Sport,None,Japan,None,Japanese, English,Vitor Belfort, Igor Borisov,Unknown,None,Unknown,None,Unknown,None
2005,video movie,5.7,949.0,90.0,Animation, Action,Japan,None,Japanese, English,Yasuyuki Kase, Yuri Amano,Ikuo Kuwana,None,Yasunori Honda, Bill Laswell,Takashi Nishiyama, Mitsuhiro Yamada
1997,movie,7.9,3471.0,83.0,Documentary, History,United States,None,English,None,Dan Gifford, Clive Doyle,William Gazecki,None,David Hamilton,None,William Gazecki, Dan Gifford
2000,movie,6.7,13659.0,96.82821118991332,Crime, Drama,United Kingdom, Germany,English,None,Malcolm McDowell, David Thewlis,Paul McGuigan,None,John Dankworth,None,Johnny Ferguson, Louis Mellis
1998,tv mini series,6.9,1169.0,90.0,Animation, Action,Japan,None,Japanese,None,Basile, Hozumi Gôda,Unknown,None,Unknown,None,Satoru Ozawa, Hiroshi Yamaguchi
1996,movie,5.6,380.0,128.0,Action, Fantasy,South Korea,None,Korean,None,Han Suk-kyu, Jang-soo Bae,Je-kyu Kang,None,Dong-jun Lee,None,Je-kyu Kang,None
1996,video movie,7.5,126.0,95.0,Music,None,United States,None,English,None,Michael Anthony, Sammy Hagar,Pete Angelus, Meiert Avis,Unknown,None,Unknown,None
2004,video movie,4.4,170.0,109.0,Horror,None,United States,None,English,None,Rob Zombie, Lee Perkins,BC Fourteen, Rob Graydon,Brahms Third Racket,None,BC Fourteen, Christopher P. Garetano
2003,video movie,4.7,6151.0,51.0,Action,None,Canada, Hong Kong,English, Thai,Steven Seagal, Byron Mann,Siu-Tung Ching,None,Mark Sayer-Wade,None,Thomas Fenton, Steven Seagal
1996,tv movie,7.4,975.0,96.35934959349593,Drama, History,United States,None,English,None,Delroy Lindo, Mykelti Williamson,Kevin Rodney Sullivan,None,Lee Holdridge,None,Gary Hoffman, David Himmelstein
2002,tv series,6.7,58.0,62.0,Animation, Adventure,Japan,None,Japanese,None,Cynthia Martinez, Yu Asakawa,Unknown,None,Unknown,None,Yûji Hosono, Atsuhiro Tomioka
2004,tv movie,7.2,45.0,40.0,Comedy, Documentary,United States, United Kingdom,English,None,Chris Barrie, Philip Bretherton,Duane Huey,None,Unknown,None,Michelle Street,None
1982,movie,6.2,2592.0,62.0,Comedy, Sci-Fi,United Kingdom,None,English,None,Leonard Rossiter, Brian Pettifer,Lindsay Anderson,None,Alan Price,None,David Sherwin,None
2001,movie,6.3,1396.0,89.0,Crime, Action,Japan,None,Japanese,None,Makiko Esumi, Sayoko Yamaguchi,Seijun Suzuki,None,Kodama Kzufumi,None,Kazunori Itô, Takeo Kimura
2001,tv movie,6.6,1303.0,91.0,Biography, Drama,United States, Canada,English,None,Nick Bagnall, Karl Geary,Robert Mandel,None,Christopher Lennertz,None,Christopher Ames, Carolyn Shelby
1999,video movie,6.7,95.0,95.0,Adventure,None,United States,None,English,None,Stephen Alexander, Geoffrey Alm,John Monteverde,None,Unknown,None,David Richmond,None
1969,movie,8.4,13965.0,95.0,Adventure, Comedy,Soviet Union,None,Russian,None,Yuriy Nikulin, Nina Grebeshkova,Leonid Gaidai,None,Aleksandr Zatsepin,None,Moris Slobodskoy, Yakov Kostyukovskiy
2000,movie,5.9,606.0,85.0,Comedy, Drama,France,None,French,None,Isild Le Besco, Karen Alyx,Anne-Sophie Birot,None,Unknown,None,Anne-Sophie Birot, Christophe Honoré
2004,movie,6.5,388.0,60.0,Documentary, War,United States, Iraq,Arabic, English,People of Iraq,None,People of Iraq, Martin Kunert,Euphrates,None,Unknown,None
2005,video movie,4.3,672.0,96.0,Comedy, Horror,United States,None,English,None,Kurly Tlapoyawa, Ross Kelly,Scott Phillips,None,Chris Alexander, Carrie Eliza,Scott Phillips,None
1986,video movie,6.7,33.0,90.0,Animation, Short,United States,None,English,None,Caroll Spinney, Frank Oz,Jon Stone, Jim Henson,Unknown,None,Sara Compton, Jeff Moss
1969,movie,7.6,1778.0,96.82821118991332,Drama, Musical,India,None,Hindi,None,Rajesh Khanna, Sharmila Tagore,Shakti Samanta,None,Sachin Dev Burman,None,Sachin Bhowmick, Ramesh Pant
1995,tv series,6.1,14.0,89.0,Comedy, Talk-Show,United States,None,English,None,Colin Malone, Dino Everett,Unknown,None,Unknown,None,Colin Malone,None
2002,movie,7.2,7107.0,81.0,Crime, Drama,France, United Kingdom,French,None,Jean Rochefort, Johnny Hallyday,Patrice Leconte,None,Pascal Estève,None,Claude Klotz,None
1988,movie,7.9,2119.0,146.0,Action, Crime,Soviet Union,None,Russian,None,Valeriy Priyomykhov, Anatoliy Papanov,Aleksandr Proshkin,None,Vladimir Martynov,None,Edgar Dubrovsky,None
2001,movie,6.4,2648.0,118.0,Documentary, Biography,United States,None,English,None,Ron Jeremy, William Margold,Scott J. Gill,None,Carvin Knowles,None,Scott J. Gill,None
2003,movie,7.8,14244.0,30.0,Animation, Action,Japan, France,English,None,Romanthony, Thomas Bangalter,Daisuke Nishio, Hirotoshi Rissen,Thomas Bangalter, Guy-Manuel De Homem-Christo,Thomas Bangalter, Cédric Hervet
1958,movie,6.2,3862.0,384.0,Horror, Sci-Fi,United Kingdom,None,English,None,Marshall Thompson, Kynaston Reeves,Arthur Crabtree,None,Buxton Orr,None,Herbert J. Leder, Amelia Reynolds Long
2002,movie,6.2,615.0,105.0,Comedy, Drama,Canada,None,English,None,Troy Ruptash, Vince Corazza,Brad Fraser,None,Dennis Burke,None,Brad Fraser, Brad Fraser
2003,movie,6.9,13014.0,50.0,Action, Crime,Hong Kong, China,Cantonese, Mandarin,Tony Chiu-Wai Leung, Andy Lau,Andrew Lau, Alan Mak,Kwong Wing Chan,None,Alan Mak, Felix Chong
2001,tv series,7.5,94.0,49.0,Animation,None,Japan,None,Japanese,None,Marc Diraison, Minato Ayase,Unknown,None,Unknown,None,Unknown,None
2004,video movie,9.2,713.0,96.0,Music,None,United States,None,Japanese, English,James LaBrie, John Myung,Yuji Morihara, Mike Portnoy,Unknown,None,Unknown,None
2003,tv movie,4.1,2738.0,87.0,Action, Adventure,South Africa, United States,English,None,Lou Diamond Phillips, Kristy Swanson,Charles Robert Carner,None,Louis Febre, Dominic Messinger,J.D. Feigelson, Chris Mack
2000,tv mini series,8.2,16324.0,75.0,Animation, Action,Japan,None,Japanese, English,Jun Mizuki, Mayumi Shintani,Unknown,None,Unknown,None,Yoji Enokido, Yoji Enokido
1999,video movie,6.7,23.0,25.0,Documentary,None,United States,None,English,None,Alexandria Karlsen, Priscilla Inga Taylor,Unknown,None,Unknown,None,Unknown,None
2004,tv mini series,8.1,10760.0,140.0,Animation, Drama,Japan,None,English, Japanese,Shôzô Îzuka, Toshihiko Seki,Unknown,None,Unknown,None,Satoshi Kon, Seishi Minakami
2000,tv series,6.7,204.0,90.0,Animation, Adventure,Japan,None,English,None,Kiyomi Asai, Sanae Kobayashi,Unknown,None,Unknown,None,Yuu Kawamorita, Jûzô Mutsuki
2002,movie,6.4,106385.0,30.0,Comedy, Romance,Germany, United States,English,None,Ryan Reynolds, Tara Reid,Walt Becker,None,David Lawrence,None,Brent Goldberg, David Wagner
1959,tv series,9.0,75772.0,101.0,Drama, Fantasy,United States,None,Unknown,None,Rod Serling, Robert McCord,Unknown,None,Unknown,None,Rod Serling, Rod Serling
1932,movie,6.9,1430.0,62.0,Drama, Romance,United States,None,English, French,Barbara Stanwyck, Adolphe Menjou,Frank Capra,None,Unknown,None,Frank Capra, Jo Swerling
1985,movie,7.0,1408.0,50.0,Crime, Drama,France,None,French,None,Anémone, Richard Bohringer,Michel Deville,None,Unknown,None,René Belletto, Michel Deville
1999,video movie,3.5,27.0,123.0,Documentary,None,United States,None,English,None,Pamela Anderson, Doug Bruckner,Unknown,None,Unknown,None,Ben Russell,None
1981,movie,4.0,3422.0,114.0,Horror, Sci-Fi,United Kingdom,None,English,None,Robin Clarke, Jennifer Ashley,Norman J. Warren,None,John Scott,None,Nick Maley, Gloria Maley
1955,movie,7.1,36647.0,86.0,Comedy, Mystery,United States,None,English,None,Edmund Gwenn, John Forsythe,Alfred Hitchcock,None,Bernard Herrmann,None,John Michael Hayes, Jack Trevor Story
1968,movie,7.2,12908.0,30.0,Drama, Mystery,Italy,None,Italian, English,Silvana Mangano, Terence Stamp,Pier Paolo Pasolini,None,Ennio Morricone,None,Pier Paolo Pasolini,None
1982,movie,5.4,4286.0,122.0,Adventure, Comedy,Australia,None,English,None,Kristy McNichol, Christopher Atkins,Ken Annakin,None,Arthur Sullivan,None,W.S. Gilbert, Trevor Farrant
1966,movie,5.6,2016.0,180.0,Comedy, Musical,United States,None,English, Polynesian,Elvis Presley, Suzanna Leigh,Michael D. Moore,None,Joseph J. Lilley,None,Allan Weiss, Anthony Lawrence
2003,video movie,4.2,851.0,35.0,Action, Crime,United States,None,English,None,Duane Martin, Vivica A. Fox,Craig Ross Jr.,None,Stanley A. Smith,None,Duane Martin, Jay Wolcott
2002,tv mini series,6.7,23430.0,187.0,Horror, Mystery,United States, Canada,English,None,Nancy Travis, Matt Keeslar,Unknown,None,Unknown,None,Stephen King,None
1993,movie,7.8,23023.0,96.82821118991332,Action, Drama,India,None,Hindi,None,Juhi Chawla, Sunny Deol,Yash Chopra,None,Hariprasad Chaurasia, Shiv Kumar Sharma,Honey Irani, Honey Irani
2005,video movie,6.6,1066.0,220.0,Animation, Comedy,United States,None,English,None,Jimmy Bennett, Peter Cullen,Saul Blinkoff, Elliot M. Bour,Mark Watters,None,Brian Hohlfeld, Evan Spiliotopoulos
2002,movie,6.7,1513.0,91.0,Comedy, Musical,Netherlands,None,Dutch,None,Loes Luca, Tjitske Reidinga,Pieter Kramer,None,Raymund van Santen,None,Harry Bannink, Frank Houtappels
1999,movie,6.4,398.0,100.0,Action, Crime,Hong Kong,None,Cantonese,None,Andy Lau, Louis Koo,Clarence Fok,None,Unknown,None,Jing Wong,None
1976,movie,5.7,1779.0,93.0,Comedy, Western,United States,None,English, Hebrew,George Segal, Goldie Hawn,Melvin Frank,None,Charles Fox,None,Melvin Frank, Barry Sandler
1999,movie,5.5,181.0,115.0,Drama, Sci-Fi,Japan,None,Japanese,None,Timothy Breese Miller, J. David Brimmer,Kazuya Konaka,None,Unknown,None,Taku Mayumura, Sadayuki Murai
2003,tv movie,5.4,796.0,118.0,Drama, Mystery,United States,None,English,None,Louise Lombard, Kurtis OBrien,Ben Bolt,None,Rupert Gregson-Williams, Alastair King,E. Max Frye,None
1998,movie,5.8,210.0,127.0,Action, Drama,Hong Kong,None,Cantonese,None,Donnie Yen, Athena Chu,Donnie Yen,None,Yiu-Sun Cheung,None,Unknown,None
2004,tv movie,5.5,1218.0,93.0,Crime, Drama,Canada,None,English,None,Jamie-Lynn Sigler, Saul Rubinek,Charles McDougall,None,Ryan Shore,None,Norman Snider,None
1982,tv series,8.0,36939.0,84.0,Comedy,None,United Kingdom, Australia,English,None,Rowan Atkinson, Elspet Gray,Unknown,None,Unknown,None,Rowan Atkinson, Rowan Atkinson
1979,movie,5.3,727.0,90.0,Action, Adventure,Austria, West Germany,English,None,Sylvia Kristel, Ursula Andress,Ken Annakin,None,Riz Ortolani,None,Alexandre Dumas, David Ambrose
1956,episode,6.7,6.0,104.0,Adventure, Family,Unknown,None,English,None,Micky Dolenz, Noah Beery Jr.,Douglas Heyes,None,Unknown,None,Douglas Heyes,None
1998,tv movie,7.4,654.0,97.0,Documentary,None,United States,None,English,None,Cher, Sally Field,Gary Smith, Dann Netter,Unknown,None,Fred A. Rappoport, Marty Farrell
2004,video movie,6.7,40.0,124.0,Animation, Family,United States,None,English, French,Corey Burton, Brian Cummings,Benjamin Zev,None,Unknown,None,Barbara M. Layman,None
2005,video movie,3.5,1403.0,224.0,Horror,None,United States,None,English,None,John Rhys-Davies, Dylan Neal,John Shepphird,None,Penka Kouneva,None,Steve Jankowski, John Shepphird
1992,tv movie,5.8,2598.0,129.0,Adventure, Family,United States,None,English,None,Ashley Olsen, Mary-Kate Olsen,Jeff Franklin,None,Richard Bellis,None,Jeff Franklin, Boyd Hale
2004,video movie,8.4,71.0,91.0,Music,None,Germany,None,English,None,Sarah Brightman,None,Rudi Dolezal, Hannes Rossacher,Unknown,None,Rudi Dolezal, Hannes Rossacher
1982,movie,7.4,5328.0,119.0,Animation, Adventure,France, Switzerland,French,None,Jean Valmont, Michel Elias,René Laloux,None,Jean-Pierre Bourtayre, Pierre Tardy,Stefan Wul, René Laloux
2000,tv movie,1.9,1170.0,53.0,Comedy,None,United States,None,English,None,Pauly Shore, Cathy Giannone,Victor Kargan, Steve Agee,Steve Agee, Carvin Knowles,Sam Jaffe,None
1973,episode,7.8,438.0,112.0,Adventure, Drama,United Kingdom,None,English,None,Jon Pertwee, Katy Manning,Barry Letts,None,Dudley Simpson,None,Robert Holmes, Sydney Newman
2003,episode,7.8,97.0,96.08333333333333,Documentary, Biography,Unknown,None,Unknown,None,Chuck D, B.B. King,Robert Gordon, Morgan Neville,Muddy Waters,None,Unknown,None
2004,movie,6.1,2078.0,55.0,Drama,None,India,None,Hindi,None,Salman Khan, Abhishek Bachchan,Revathi,None,Bhavatharini, Shankar-Ehsaan-Loy,Atul Sabharwal,None
2003,movie,6.6,38.0,90.0,Documentary,None,United States,None,English, Mandarin,Guolin Shi, Peng Zhang Li,Martha Burr, Mei-Juin Chen,John Zorn,None,Martha Burr, Michael Cho
1996,movie,6.5,1057.0,60.0,Drama, Romance,United States,None,English,None,Garry Marshall, Faye Dunaway,Ross Kagan Marks,None,Lee Holdridge,None,Jonathan Tolins, Jonathan Tolins
2004,movie,6.2,617.0,96.0,Documentary, History,United States,None,English,None,Charlie Clouser, Herbert Deutsch,Hans Fjellestad,None,Unknown,None,Hans Fjellestad,None
1999,video movie,9.1,1733.0,111.0,Documentary, Music,Germany,None,German,None,Till Lindemann, Christoph Schneider,Hamish Hamilton,None,Rammstein,None,Unknown,None
1962,movie,8.6,48962.0,110.0,Action, Drama,Japan,None,Japanese,None,Tatsuya Nakadai, Akira Ishihama,Masaki Kobayashi,None,Tôru Takemitsu,None,Yasuhiko Takiguchi, Shinobu Hashimoto
1997,tv series,8.0,1496.0,95.0,Animation, Comedy,Unknown,None,Unknown,None,Tomoko Kawakami, Yuriko Fuchizaki,Unknown,None,Unknown,None,Yoji Enokido, Yoji Enokido
1985,tv mini series,7.6,307.0,60.0,Crime, Drama,United Kingdom,None,English,None,Roy Marsden, Phyllis Calvert,Unknown,None,Unknown,None,Robin Chapman, P.D. James
1962,movie,7.1,2466.0,94.0,Action, Drama,United Kingdom,None,English, French,Alec Guinness, Dirk Bogarde,Lewis Gilbert,None,Clifton Parker,None,Nigel Kneale, Edmund H. North
1949,movie,8.1,165033.0,93.0,Film-Noir, Mystery,United Kingdom,None,English, German,Joseph Cotten, Alida Valli,Carol Reed,None,Anton Karas,None,Graham Greene, Graham Greene
2001,episode,7.0,21.0,115.0,Documentary,None,United States,None,English,None,Paul Allen, Robert Krulwich,Elizabeth Arledge,None,Ray Loring,None,Elizabeth Arledge, Julia Cort
1996,movie,4.5,5772.0,6.0,Drama, Thriller,United States,None,English,None,Alyssa Milano, Johnathon Schaech,Anne Goursaud,None,Joseph Williams,None,Chloe King,None
2004,movie,6.4,5.0,51.0,Documentary,None,United States,None,English,None,Unknown,None,Liam Dale,None,Paul Andrews,None,Sue Hosler,None
2004,movie,8.0,38784.0,96.82821118991332,Action, Drama,South Korea,None,Korean,None,Jang Dong-Gun, Won Bin,Je-kyu Kang,None,Dong-jun Lee,None,Richard Epcar, Ji-hoon Han
1999,tv series,7.4,556.0,94.0,Comedy, Drama,United States,None,English,None,Jon Tenney, Debrah Farentino,Unknown,None,Unknown,None,Clyde Phillips, Clyde Phillips
1985,video movie,8.6,94.0,54.0,Music, Documentary,United States,None,English,None,Klaus Flouride, DH Peligro,Dirk B.G. Driksen,None,Unknown,None,Unknown,None
1974,movie,6.7,828.0,60.0,Drama, Romance,United States,None,English,None,Robert McLane, Curt Gareth,Christopher Larkin,None,Gordon Gottlieb, Bert Lucarelli,Joseph Coencas, Joseph Coencas
1998,movie,5.1,425.0,100.0,Drama, Mystery,United States,None,English,None,Erika Eleniak, James Wilder,Stephen Eckelberry,None,Somtow Sucharitkul,None,Richmond Riedel, Karen Black
1984,movie,8.1,159751.0,60.0,Animation, Adventure,Japan,None,Japanese,None,Sumi Shimamoto, Mahito Tsujimura,Hayao Miyazaki,None,Joe Hisaishi,None,Hayao Miyazaki, Hayao Miyazaki
2002,movie,6.5,1511.0,93.0,Drama, Romance,China, Hong Kong,Mandarin,None,Gong Li, Tony Ka Fai Leung,Zhou Sun,None,Shigeru Umebayashi,None,Cun Bei, Zhou Sun
1997,tv series,7.5,40212.0,82.0,Animation, Action,Japan,None,Japanese,None,Ikue Ôtani, Rica Matsumoto,Unknown,None,Unknown,None,Junichi Masuda, Junichi Masuda
1982,tv mini series,8.1,1074.0,21.0,Drama,None,United Kingdom,None,English,None,Donald Pleasence, Janet Maw,Unknown,None,Unknown,None,Alan Plater, Anthony Trollope
1969,tv series,8.1,12869.0,87.0,Animation, Adventure,United States,None,English, Spanish,Caroll Spinney, Frank Oz,Unknown,None,Unknown,None,David Axlerod, Joseph A. Bailey
