economy,YR2015,YR2016,YR2017,YR2018,YR2019
KWT,2.3,2.8,1.7,2.0,1.7
LAC,35.8708333333333,34.725,33.4583333333333,32.4541666666667,30.6458333333333
LAO,9.9,9.2,7.0,6.6,4.6
LBN,34.2,40.6,42.0,40.0,42.3
LBR,16.8,16.7,15.7,12.6,6.3
LBY,26.9,31.2,30.3,23.0,24.6
LCA,22.4,21.4,21.5,18.4,17.0
LCN,30.7484848484848,31.469696969697,37.0575757575758,37.4727272727273,30.5606060606061
LDC,69.3239130434783,64.3369565217391,58.804347826087,49.9304347826087,40.695652173913
LIC,79.1230769230769,77.5,74.0692307692308,60.8269230769231,48.1153846153846
LIE,,,,2.2,2.2
LKA,18.7,12.2,10.4,9.4,8.7
LMC,39.2418181818182,34.48,31.2690909090909,29.6454545454545,25.7272727272727
LMY,37.8030303030303,35.7242424242424,33.4227272727273,29.7378787878788,25.1719696969697
LSO,9.3,8.1,7.7,7.1,6.1
LTE,7.08958333333333,7.23125,7.02708333333333,6.76666666666666,6.24791666666667
LTU,0.6,0.6,0.6,0.5,0.5
LUX,2.0,1.7,1.7,1.7,1.6
LVA,1.8,1.7,1.7,1.7,1.5
MAC,,,,,
MAF,,,,,
MAR,9.1,7.9,8.0,3.7,3.6
MCO,,,,,
MDA,4.3,6.2,5.6,5.0,4.0
MDG,43.7,40.4,35.7,33.0,30.2
MDV,4.9,5.2,4.7,4.0,4.1
MEA,27.1285714285714,25.4380952380952,19.8428571428571,21.752380952381,16.0
MEX,18.1,17.8,17.0,16.2,15.2
MHL,12.7,12.5,11.9,12.2,12.9
MIC,27.6679245283019,25.477358490566,23.4528301886793,22.1122641509434,19.5443396226415
MKD,0.2,0.1,3.4,3.3,3.1
MLI,71.3,61.0,58.4,56.8,55.1
MLT,14.1,12.3,7.4,7.1,6.7
MMR,98.0,41.1,40.1,24.8,13.3
MNA,40.2923076923077,37.3615384615385,28.7461538461538,31.1076923076923,22.4538461538462
MNE,1.6,1.5,1.5,1.3,1.2
MNG,1.5,1.5,1.4,1.3,1.2
MNP,,,,,
MOZ,57.8,64.6,92.9,120.5,106.9
MRT,19.4,19.4,19.3,16.2,15.8
MUS,2.0,1.8,1.0,0.9,0.8
MWI,84.6,42.2,44.6,38.6,32.6
MYS,6.7,13.7,12.7,11.6,11.1
NAC,0.75,0.75,0.75,0.65,0.65
NAM,11.1,11.5,11.4,10.0,8.9
NCL,,,,,
NER,67.8,32.4,8.3,8.1,7.9
NGA,31.2,31.3,29.2,27.6,26.1
NIC,72.2,68.0,65.4,63.6,65.7
NLD,4.6,4.5,4.4,4.2,4.0
NOR,0.9,0.9,0.9,0.9,0.8
NPL,28.4,26.1,27.4,24.4,20.2
NRU,,,,,
NZL,0.3,0.3,0.3,0.2,0.2
OED,4.90263157894737,4.73684210526316,4.34473684210526,4.12105263157895,3.84736842105263
OMN,3.3,4.1,3.2,3.3,3.1
OSS,31.1538461538462,28.4730769230769,23.5192307692308,21.9153846153846,15.8346153846154
PAK,14.3,12.8,7.9,6.8,6.7
PAN,6.7,6.6,6.5,6.1,5.8
PER,9.7,7.4,7.5,7.5,9.4
PHL,20.5,19.9,19.7,24.0,23.3
PLW,3.3,2.9,2.9,2.9,2.2
PNG,17.3,15.6,20.3,20.5,18.6
POL,12.2,12.1,12.0,11.8,11.6
PRE,67.8081081081081,65.5864864864865,62.5756756756757,51.3621621621622,42.4675675675676
