economy,YR2015,YR2016,YR2017,YR2018,YR2019
KWT,31.4,61.4,38.4,35.4,19.4
LAC,30.8916666666667,30.1625,29.8291666666667,25.5208333333333,25.2291666666667
LAO,187.0,174.0,174.0,174.0,173.0
LBN,15.0,15.0,15.0,15.0,15.0
LBR,6.0,6.0,6.0,18.0,18.0
LBY,35.0,35.0,35.0,35.0,35.0
LCA,11.0,11.0,11.0,11.0,11.0
LCN,31.7242424242424,32.1787878787879,31.9363636363636,28.7575757575758,28.0909090909091
LDC,28.1847826086957,27.3152173913043,26.8260869565217,27.0,26.2173913043478
LIC,23.7115384615385,23.1730769230769,22.4807692307692,22.8461538461538,22.0769230769231
LIE,,,,46.0,46.0
LKA,10.0,9.0,9.0,9.0,8.0
LMC,29.0018181818182,27.84,27.1127272727273,25.5527272727273,24.5418181818182
LMY,26.8984848484849,26.0386363636364,24.1636363636364,22.6742424242424,21.794696969697
LSO,29.0,29.0,29.0,29.0,15.0
LTE,15.5270833333333,15.74375,14.3270833333333,12.3208333333333,11.26875
LTU,5.5,5.5,5.5,5.5,5.5
LUX,16.5,16.5,16.5,16.5,16.5
LVA,5.5,5.5,5.5,5.5,5.5
MAC,,,,,
MAF,,,,,
MAR,10.5,10.0,9.0,9.0,9.0
MCO,,,,,
MDA,6.0,6.0,5.0,4.0,4.0
MDG,13.0,12.0,8.0,8.0,8.0
MDV,12.0,12.0,12.0,12.0,12.0
MEA,22.4,23.4190476190476,21.2047619047619,20.3714285714286,19.5190476190476
MEX,8.4,8.4,8.4,8.4,8.4
MHL,17.0,17.0,17.0,17.0,17.0
MIC,27.6801886792453,26.7415094339623,24.5764150943396,22.6320754716981,21.7254716981132
MKD,15.0,15.0,15.0,15.0,15.0
MLI,8.5,8.5,11.0,11.0,11.0
MLT,28.0,26.0,16.0,16.0,20.5
MMR,16.0,14.0,14.0,14.0,7.0
MNA,26.0769230769231,26.1923076923077,25.5,24.8076923076923,24.8846153846154
MNE,12.0,12.0,12.0,12.0,12.0
MNG,12.0,12.0,12.0,12.0,12.0
MNP,,,,,
MOZ,21.0,21.0,17.0,17.0,17.0
MRT,8.0,8.0,6.0,6.0,6.0
MUS,6.5,6.5,5.5,5.0,4.5
MWI,38.0,37.0,37.0,37.0,37.0
MYS,7.5,23.5,23.5,13.5,17.5
NAC,3.55,3.55,3.55,3.55,2.85
NAM,66.0,66.0,54.0,54.0,54.0
NCL,,,,,
NER,16.0,11.0,8.0,10.0,10.0
NGA,30.3,24.9,18.9,10.9,7.2
NIC,14.0,14.0,14.0,14.0,14.0
NLD,3.5,3.5,3.5,3.5,3.5
NOR,4.0,4.0,4.0,4.0,4.0
